Book Title,Subtitle,Authors,Publisher,ISBN-13,ISBN-10,Book Code,Edition,Language,Category,Subcategory,Tags,Price,MRP,Stock,SKU,Description,Pages,Publication Year,Binding Type
Advanced Engineering Mathematics,,Erwin Kreyszig,Wiley,9781119455929,,ENG-101,10th Edition,English,Engineering,Mathematics,"math, engineering",1200,1500,50,B-ENG-001,Comprehensive guide to engineering mathematics.,1200,2020,Hardcover
The C Programming Language,,Brian W. Kernighan & Dennis M. Ritchie,Prentice Hall,9780131103627,0131103628,CS-101,2nd Edition,English,Computer Science,Programming,"c, programming",800,999,100,B-CS-001,The classic C programming book.,274,1988,Paperback
Clean Code,A Handbook of Agile Software Craftsmanship,Robert C. Martin,Prentice Hall,9780132350884,0132350882,CS-102,N/A,English,Computer Science,Software Engineering,"clean code, agile",1100,1300,75,B-CS-002,Noted software expert Robert C. Martin presents a revolutionary paradigm.,464,2008,Paperback
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma; Richard Helm,Addison-Wesley,9780201633610,,CS-103,1st Edition,English,Computer Science,Software Engineering,"patterns, oops",950,1150,40,B-CS-003,Capturing a wealth of experience about the design of object-oriented software.,395,1994,Hardcover
Introduction to Algorithms,,Thomas H. Cormen,MIT Press,9780262033848,,CS-104,3rd Edition,English,Computer Science,Algorithms,"algorithms, dsa",1600,1999,30,B-CS-004,The bible of algorithms.,1312,2009,Hardcover
Organic Chemistry,,Paula Yurkanis Bruice,Pearson,9780134042282,,CHE-101,8th Edition,English,Science,Chemistry,"organic, chemistry",1400,1799,60,B-CHE-001,Comprehensive organic chemistry for college students.,1344,2015,Paperback
Fundamentals of Physics,,David Halliday; Robert Resnick,Wiley,9781118230718,,PHY-101,10th Edition,English,Science,Physics,"physics, science",1350,1650,45,B-PHY-001,Standard physics textbook.,1272,2013,Hardcover
Molecular Biology of the Cell,,Bruce Alberts,Garland Science,9780815344322,,BIO-101,6th Edition,English,Science,Biology,"biology, molecular",2500,3000,20,B-BIO-001,The definitive text in cell biology.,1464,2014,Hardcover
Principles of Economics,,N. Gregory Mankiw,Cengage,9781305585126,,ECO-101,8th Edition,English,Commerce,Economics,"economics, micro, macro",1100,1400,80,B-ECO-001,A popular textbook on economics.,880,2017,Paperback
Database System Concepts,,Abraham Silberschatz,McGraw-Hill,9780073523323,,CS-105,6th Edition,English,Computer Science,Databases,"dbms, databases",900,1200,90,B-CS-005,Standard dbms textbook.,1376,2010,Hardcover
Operating System Concepts,,Abraham Silberschatz,Wiley,9781118063330,,CS-106,9th Edition,English,Computer Science,Operating Systems,"os, windows, linux",1050,1350,65,B-CS-006,The dinosaur book for OS.,976,2012,Paperback
Artificial Intelligence,A Modern Approach,Stuart Russell; Peter Norvig,Pearson,9780134610993,,CS-107,4th Edition,English,Computer Science,Artificial Intelligence,"ai, machine learning",1800,2200,35,B-CS-007,The most popular AI textbook.,1152,2020,Hardcover
Computer Networking,A Top-Down Approach,James Kurose,Pearson,9780133594140,,CS-108,7th Edition,English,Computer Science,Networking,"networking, tcp/ip",1150,1450,55,B-CS-008,Standard networking textbook.,864,2016,Hardcover
Data Science from Scratch,,Joel Grus,O'Reilly Media,9781492041139,,CS-109,2nd Edition,English,Computer Science,Data Science,"python, data science",1300,1550,70,B-CS-009,First principles with Python.,406,2019,Paperback
Calculus,,James Stewart,Cengage,9781285740621,,MTH-101,8th Edition,English,Mathematics,Calculus,"math, calculus",1500,1850,40,B-MTH-001,Standard calculus textbook.,1368,2015,Hardcover
The Pragmatic Programmer,,David Thomas; Andrew Hunt,Addison-Wesley,9780135957059,,CS-110,20th Anniversary Edition,English,Computer Science,Software Engineering,"programming, pragmatic",1200,1400,85,B-CS-010,Your journey to mastery.,352,2019,Hardcover
JavaScript: The Good Parts,,Douglas Crockford,O'Reilly Media,9780596517748,0596517742,CS-111,N/A,English,Computer Science,Web Development,"javascript, web",600,750,120,B-CS-011,Unearthing the Excellence in JavaScript.,172,2008,Paperback
Cracking the Coding Interview,,Gayle Laakmann McDowell,CareerCup,9780984782857,0984782850,CS-112,6th Edition,English,Computer Science,Careers,"interviews, coding",1400,1600,150,B-CS-012,189 Programming Questions and Solutions.,708,2015,Paperback
The Lord of the Rings,,J.R.R. Tolkien,Mariner Books,9780544003415,,FIC-101,N/A,English,Fiction,Fantasy,"fantasy, tolkien",1800,2100,60,B-FIC-001,The classic fantasy epic.,1178,2012,Paperback
Atomic Habits,,James Clear,Avery,9780735211292,,SELF-101,N/A,English,Self-Help,Personal Development,"habits, productivity",850,1100,200,B-SELF-001,An Easy & Proven Way to Build Good Habits & Break Bad Ones.,320,2018,Hardcover
